스킬ID,스킬,타겟_범위,타겟_태그
33646,2024년 솔로 탈출 시기,연애상태_싱글,"신년운세, 연애_새로운만남"
31435,지금 날 간절히 원하는 사람 누구일까?,"연애상태_싱글, 연애상태_커플",연애_새로운만남
41402,2024 갑진년 하반기 애정운,"연애상태_싱글, 연애상태_커플","신년운세, 연애_궁합관계"
2418,사주로 보는 내 타고난 결혼운,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
16483,사주 살풀이: 타고난 살과 2022년의 살,전체,신년운세
23706,2023년 솔로 탈출 시기,연애상태_싱글,"신년운세, 연애_새로운만남"
27178,내 사주의 배우자 궁에 있는 사람은?,"연애상태_싱글, 연애상태_커플",연애_결혼
28729,내 운이 트이는 동네는?(서울편),전체,
21799,월지로 보는 인연: 배우자가 될 3명의 후보,"연애상태_싱글, 연애상태_커플",연애_결혼
22162,놓치면 후회할 인연因緣의 외모와 특징,"연애상태_싱글, 연애상태_커플",연애_일반
43686,"[창광] 신년운세 통합본 ""2025년 을사년""",전체,"신년운세, 종합운"
22690,일생 풀이: 천운과 타고난 복(福),전체,
27220,2023년 하반기 솔로 탈출 시기,연애상태_싱글,"신년운세, 연애_새로운만남"
24082,내 아이는 출세할 사주일까?,"연애상태_싱글, 연애상태_커플",가족자녀운
26182,인생 역전의 비밀: 내 사주에 주목할 운명은?,"연애상태_싱글, 연애상태_커플",연애_일반
24509,내 사주의 연애와 결혼: 운명의 두 사람,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
2141,그 사람의 속마음,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
25297,사주로 보는 그 사람의 속마음,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
49816,재회 사주: 헤어져도 다시 만날 필연,연애상태_싱글,연애_재회
43683,[창광] 25년 을사년 사랑운과 인연운,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
24175,도화살 풀이: 내 매력 언제 터질까?,"연애상태_싱글, 연애상태_커플",연애_새로운만남
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,연애상태_싱글,연애_재회
22164,사업운 vs 직장운: 경제적 자유 누리는 법,전체,학업직업운
27723,2023년 하반기 운세 보고서,전체,"신년운세, 종합운"
24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?","연애상태_싱글, 연애상태_커플",연애_새로운만남
22756,사주 살풀이: 타고난 살과 2023년의 살,전체,신년운세
25454,인생역전 3대운 풀이: 대운은 언제 들어올까?,전체,종합운
34575,절대로 놓치면 안 될 결혼 상대와 시기는?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
21734,그 사람 속마음 [심화],"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
16585,2022년 솔로탈출시기,연애상태_싱글,"신년운세, 연애_새로운만남"
55360,2026년 신년운세 보고서,전체,"신년운세, 종합운"
42392,2025년 솔로 탈출 시기,연애상태_싱글,"신년운세, 연애_새로운만남"
39091,재회 타로 : 그 사람의 첫 연락,연애상태_싱글,"연애_궁합관계, 연애_재회"
47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,연애상태_싱글,"연애_궁합관계, 연애_재회"
55723,2026년 솔로 탈출 시기,연애상태_싱글,"신년운세, 연애_새로운만남"
23086,D-DAY 타로: 솔로 탈출까지 며칠 남았을까?,연애상태_싱글,연애_새로운만남
18270,그 사람 아직 나한테 미련 있을까?,연애상태_싱글,"연애_궁합관계, 연애_재회"
41368,2024년 하반기 운세 보고서,전체,"신년운세, 종합운"
41764,[창광] 24년 하반기 사랑운과 인연운,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
40510,2024년 하반기 솔로 탈출 시기,연애상태_싱글,"신년운세, 연애_새로운만남"
18933,인생 피는 필승 사주 : 내 인생 언제 필까? + 필승 개운법 일주 풀이,전체,종합운
16426,좋아하는 그 사람의 속마음은?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
22064,내 사주의 악인(惡人): 싹을 잘라야 할 불행의 근원,"연애상태_싱글, 연애상태_커플",종합운
44899,임신 타로: 이번 달 우리 아기 찾아올까?,연애상태_커플,가족자녀운
21766,그 사람과 나의 결혼 궁합,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계, 연애_새로운만남"
44108,2025년에 찾아올 두 명의 인연,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",연애상태_싱글,"연애_속마음, 연애_재회"
32425,2024년 놓치면 안 될 3번의 기회,전체,신년운세
32365,사주 살풀이: 타고난 살과 2024년의 살,전체,신년운세
45097,헤어진 X와 재회할 수 있을까?,연애상태_싱글,연애_재회
2505,지금 날 좋아하는 사람은?,"연애상태_싱글, 연애상태_커플",연애_속마음
36617,2024년 갑진년 운세 [통합편],전체,"신년운세, 종합운"
48332,🪡6개월 내 반드시 만나게 될: 붉은 실 인연🧶,"연애상태_싱글, 연애상태_커플",연애_새로운만남
26214,그 사람도 날 좋아할까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
51301,사주+타로: 임신운 심층 분석,연애상태_커플,가족자녀운
35701,2024년에 찾아올 두 명의 인연,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
2326,그 사람과 나의 속궁합,"연애상태_싱글, 연애상태_커플",연애_궁합관계
50014,2025년 하반기 운세 보고서,전체,"신년운세, 종합운"
43685,[창광] 25년 을사년 직업운과 합격운,전체,"신년운세, 학업직업운"
18142,"다음 연애 언제, 어디서 시작될까?","연애상태_싱글, 연애상태_커플",연애_새로운만남
400,다시 만날 수 있을까,연애상태_싱글,연애_재회
24008,절대 놓치면 안 될 결혼 상대와 시기는?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
42660,"우리 커플 삼단궁합 : 연애궁합, 속궁합, 결혼궁합","연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계"
51565,2025년 하반기 솔로 탈출 시기,연애상태_싱글,"신년운세, 연애_새로운만남"
30940,이 사랑의 결말: 그 사람과 나의 인연,"연애상태_싱글, 연애상태_커플",연애_궁합관계
34075,"불안한 사랑, 우리 관계의 미래는?","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_위기갈등"
24870,내 운명의 인연 + 도화살 풀이,"연애상태_싱글, 연애상태_커플",연애_새로운만남
16717,인생 피는 필승 개운법: 일주 풀이,전체,종합운
24475,팔자가 바뀌는 6번의 기회,전체,
39852,"내 운명의 연애, 몇 번 남았을까?","연애상태_싱글, 연애상태_커플",연애_일반
43684,[창광] 25년 을사년 재물운과 문서운,전체,"신년운세, 재물금전운"
18664,내 사주는 부자 사주 vs 가난한 사주,전체,재물금전운
42029,[창광] 24년 하반기 재물운과 문서운,전체,"신년운세, 재물금전운"
16377,3개월 안에 다시 만날 수 있을까?,연애상태_싱글,연애_재회
36510,2024 갑진년 운세: 합격과 커리어,전체,"신년운세, 학업직업운"
31336,인생 역전의 비밀: 내 사주의 주목할 운명(運命)은?,"연애상태_싱글, 연애상태_커플",연애_일반
43249,"사주 직업 컨설팅: 사업, 직장, 업종",전체,학업직업운
18631,3개월 안에 애인 생길까?,연애상태_싱글,연애_새로운만남
39421,나는 결혼해야 좋은 팔자일까?,"연애상태_싱글, 연애상태_커플",연애_결혼
19005,(임시)2022년 하반기 운세 보고서,전체,"신년운세, 종합운"
26009,"내 사주로 월 1,000만 원 버는 부업은?","연애상태_싱글, 연애상태_커플",종합운
42031,[창광] 24년 하반기 운세 통합본,"연애상태_싱글, 연애상태_커플","신년운세, 종합운"
23089,연봉 상승 비책: 올해 취업•이직운,전체,학업직업운
21371,2022년 하반기 운세 보고서,전체,"신년운세, 종합운"
49519,임신운 풀이: 삼신할매가 점지한 우리 아가,연애상태_커플,가족자녀운
48892,🩵하늘이 맺어준 혼인길 점괘🩵,"연애상태_싱글, 연애상태_커플",연애_결혼
42062,사주 살풀이: 타고난 살과 2025년의 살,전체,신년운세
22195,사주로 보는 미래: 나는 언제 출세할까?,"연애상태_싱글, 연애상태_커플",연애_새로운만남
20546,나에게 남은 연애 기회는?,"연애상태_싱글, 연애상태_커플",연애_일반
20017,반드시 잡아야 할 내 인생의 귀인은?,"연애상태_싱글, 연애상태_커플",종합운
19002,이별리셋 패키지: 전애인 후폭풍 + 재회운,연애상태_싱글,연애_재회
22426,내 인생의 귀인 + 피해야 할 악인은?,"연애상태_싱글, 연애상태_커플",종합운
30677,내 운명의 숨겨진 방향성,"연애상태_싱글, 연애상태_커플",연애_일반
20347,내 인생의 귀인 + 운명의 상대는?,"연애상태_싱글, 연애상태_커플",연애_일반
18639,걔는 나를 연애 상대로 볼까?,"연애상태_싱글, 연애상태_커플",연애_일반
19315,2022년 놓치면 안 될 3번의 기회,전체,신년운세
23885,타고난 재물운: 내 사주에 돈복 있을까?,전체,재물금전운
21271,2022년 하반기 솔로탈출시기,연애상태_싱글,"신년운세, 연애_새로운만남"
18765,네이탈 차트: 내 타고난 성격 리포트,"연애상태_싱글, 연애상태_커플",
35527,사주 궁합으로 보는 우리의 현재와 미래,"연애상태_싱글, 연애상태_커플",연애_궁합관계
18641,걔도 지금 나 보고 싶을까?,"연애상태_싱글, 연애상태_커플",연애_속마음
29951,반드시 손절해야 할 내 인생 3명의 악인,"연애상태_싱글, 연애상태_커플",종합운
34385,[2인 할인] 2024년 신년운세 보고서,전체,"신년운세, 종합운"
40708,"이별, 그 후… 너와 나의 속마음","연애상태_싱글, 연애상태_커플","연애_속마음, 연애_재회"
26213,2023년 솔로 탈출 시기 + 사주로 보는 결혼 상대,연애상태_싱글,"신년운세, 연애_결혼, 연애_새로운만남"
51499,[창광] 25년 하반기 운세 통합편,"연애상태_싱글, 연애상태_커플","신년운세, 종합운"
42028,[창광] 24년 하반기 직업운과 합격운,전체,"신년운세, 학업직업운"
25991,내 사주의 재혼운: 재혼해도 잘 살까?,"연애상태_싱글, 연애상태_커플",종합운
26500,"내 사주의 천생연분, 어떤 사람일까?","연애상태_싱글, 연애상태_커플",종합운
38993,사주로 보는 결혼 : 그 사람의 본심 👤,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계"
41074,[완결판] 곧 다가올 나의 인생 연애,"연애상태_싱글, 연애상태_커플",연애_일반
34952,손금으로 보는 결혼운 : 결혼하면 어떨까?,"연애상태_싱글, 연애상태_커플",연애_결혼
24779,재회 타로: 우리가 헤어진 진짜 이유,연애상태_싱글,연애_재회
25034,내 아이의 합격운: 인생 피는 진로 풀이,"연애상태_싱글, 연애상태_커플","가족자녀운, 학업직업운"
18467,먼저 연락 올 확률은?,연애상태_싱글,연애_재회
34636,내 사주에 자녀 몇 명일까?: 타고난 재능과 성공운까지,연애상태_커플,가족자녀운
18301,{{이름}}[[이의/의]] 7월 종합운,"연애상태_싱글, 연애상태_커플",종합운
26374,그 사람과 나의 결혼 궁합 + 속 궁합,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계, 연애_새로운만남"
54668,결혼 사주 즉문즉답: 시기・상대・개운・팔자,"연애상태_싱글, 연애상태_커플",연애_결혼
16378,짝사랑 이루어질까?,연애상태_싱글,연애_새로운만남
18105,다가올 인연의 외모·성격·직업은?,"연애상태_싱글, 연애상태_커플","연애_일반, 학업직업운"
27706,비로소 만나게 될 나의 운명,"연애상태_싱글, 연애상태_커플",연애_새로운만남
52621,{{이름}}님의 3번의 결정적 결혼수💍,"연애상태_싱글, 연애상태_커플",연애_결혼
30282,내 운이 트이는 동네는?(경기도 편),전체,
16816,이름풀이 - 운명과 주의할 점,"연애상태_싱글, 연애상태_커플",연애_일반
19390,"2022년의 연애, 언제 어떻게 시작될까?","연애상태_싱글, 연애상태_커플","신년운세, 연애_새로운만남"
17212,그 사람이 연락을 안 하는 이유,연애상태_싱글,"연애_궁합관계, 연애_재회"
18948,다음 연애 완전 정복 패키지,"연애상태_싱글, 연애상태_커플",연애_일반
36042,사주로 보는 그 사람의 '진짜' 속마음🚨,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
44371,도화살로 보는 연애운 전성기,"연애상태_싱글, 연애상태_커플",연애_새로운만남
26271,내 인생의 귀인 + 운명의 인연은? [실사판],"연애상태_싱글, 연애상태_커플",연애_일반
41566,2025년 놓치면 안 될 3번의 기회,전체,신년운세
25651,도화살 결혼운: 나는 결혼하면 잘 살까?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계, 연애_새로운만남"
19325,내 인생 + 2022년 3번의 기회,전체,신년운세
20182,(추천할인) 내 인생 언제 필까? 3번의 기회,전체,종합운
21667,사주 복록 풀이: 타고난 부동산 복 활용법,"연애상태_싱글, 연애상태_커플",종합운
27326,내 사주의 가장 강한 복은 뭘까?,"연애상태_싱글, 연애상태_커플",종합운
19304,사주로 보는 내 타고난 결혼운(추천 할인),"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
2236,전연인 어떻게 지낼까,연애상태_싱글,연애_재회
20320,(추천할인) 우리 사귈 수 있을까?: 사귈 확률 계산기,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_새로운만남"
33559,(사전예약자 전용)2024년 신년운세 보고서,전체,"신년운세, 종합운"
36224,팔자 피는 결혼의 비밀: 연애 개운법,"연애상태_싱글, 연애상태_커플",연애_결혼
45658,이 사람과 결혼해도 될까?: 결혼 전 필수 궁합,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계"
24472,반드시 성공할 사업 분야와 기회는?,전체,학업직업운
23854,2023년 놓치면 안 될 3번의 기회,전체,신년운세
43678,[창광] 1개 구매자 추가 할인 (2025년 신년운세 통합본),전체,"신년운세, 종합운"
22327,내 운명 지금 어디 있을까?,"연애상태_싱글, 연애상태_커플",연애_일반
31205,2023년 하반기에 찾아올 3명의 인연,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
16423,오행五行으로 보는 성격 특징,"연애상태_싱글, 연애상태_커플",
18705,나는 결혼해도 되는 사주일까?,"연애상태_싱글, 연애상태_커플",연애_결혼
37773,[학부모 필독 사주] 내 아이의 재능과 운명,"연애상태_싱글, 연애상태_커플","가족자녀운, 연애_일반"
2142,재회확률 높이는 법,연애상태_싱글,연애_재회
24077,[페이드마케팅] 2023년 신년운세 보고서,전체,"신년운세, 종합운"
57670,2026 병오년 운세: 사랑과 인연,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
16223,솔로 탈출 언제 가능할까?,연애상태_싱글,연애_새로운만남
48463,나만 몰랐던 호감시그널 : 붉은 실 인연🧶,"연애상태_싱글, 연애상태_커플",연애_궁합관계
2202,사주로 보는 직업운,전체,학업직업운
32788,[추천] 내 사주에 연애 상대 몇 명 있을까?_상대와 시기,"연애상태_싱글, 연애상태_커플",연애_일반
26197,그 사람이 나에게 하고 싶은 말 (feat.편지카드),"연애상태_싱글, 연애상태_커플",연애_궁합관계
21832,(추천할인) 놓치면 후회할 인연의 외모와 특징,"연애상태_싱글, 연애상태_커플",연애_일반
43217,[2인 할인] 2025년 신년운세 보고서,전체,"신년운세, 종합운"
40048,사주로 보는 인생 그래프: 일생풀이,"연애상태_싱글, 연애상태_커플",종합운
23053,2023년 반드시 잡아야 할 대운은?,전체,신년운세
42754,그 사람과 나의 재회 공식 3가지,연애상태_싱글,"연애_궁합관계, 연애_재회"
30680,그 운명의 러브 판타지,"연애상태_싱글, 연애상태_커플",연애_일반
22792,사주오행 활용: 내가 갑이 되는 연애법,"연애상태_싱글, 연애상태_커플",연애_일반
33654,절대로 결혼하면 안 되는 사람은?,"연애상태_싱글, 연애상태_커플",연애_결혼
19309,2022년 솔로탈출시기(추천 할인),연애상태_싱글,"신년운세, 연애_새로운만남"
50542,[창광] 25년 하반기: 사랑운과 인연운,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
29192,바람기 잡는 법: 그 사람 사주의 바람기,연애상태_커플,"연애_궁합관계, 연애_위기갈등"
43612,[추가구매] 2025 을사년 운세: 사랑과 인연,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
19302,2022년 신년운세 보고서(추천 할인),전체,"신년운세, 종합운"
20317,"(추천할인) 다음 연애 언제, 어디서 시작될까?","연애상태_싱글, 연애상태_커플",연애_새로운만남
23883,선택 타로: 이 사람 계속 만나도 될까?,"연애상태_싱글, 연애상태_커플",
20054,반드시 잡아야 할 내 인생의 귀인은? (추천할인),"연애상태_싱글, 연애상태_커플",종합운
13663,어떤 사람과 사귈 운명일까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
56648,재회 궁합: 그 사람 반드시 돌아오게 하는 법,연애상태_싱글,"연애_궁합관계, 연애_재회"
2465,사주로 보는 내 전성기,"연애상태_싱글, 연애상태_커플",종합운
18725,헤어진 연인과의 재회 확률,연애상태_싱글,연애_재회
18970,다음 달에 애인 생길까?,연애상태_싱글,연애_새로운만남
20248,(추천할인)내 인생 황금기와 암흑기: 사주팔자 풀이,전체,종합운
55789,2026 신년운세 즉문즉답: 애정・재물・직업・대운,"연애상태_싱글, 연애상태_커플","신년운세, 연애_궁합관계, 재물금전운, 학업직업운"
2165,사주로 보는 재물운,전체,재물금전운
1210,우리 얼마나 오래 갈까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
22525,부자되는 필승법 : 미래 재산 확인하기,전체,재물금전운
26057,사주 작명과 길일: 우리 아이 어떤 이름이 좋을까?,"연애상태_싱글, 연애상태_커플",종합운
29193,내 사주 속 최고의 겉궁합 VS 속궁합 상대는?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
36439,"짝이 있는 그 사람, 나에게 올까?","연애상태_싱글, 연애상태_커플",연애_궁합관계
56416,[창광] 26년 병오년 사랑운과 인연운,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
56516,[창광] 26년 병오년 직업운과 합격운,전체,"신년운세, 학업직업운"
23882,(추천할인) 내 운명 지금 어디 있을까?,"연애상태_싱글, 연애상태_커플",연애_일반
30379,"내 사주의 천지인(天地人): 천운과 미래의 집, 그리고 인연","연애상태_싱글, 연애상태_커플",연애_일반
39553,"타고난 내 몸 살리는 ""사주 오행"" 다이어트 💪🏻","연애상태_싱글, 연애상태_커플",종합운
25845,[속마음] 💕현재 그의 진짜 속마음💕,"연애상태_싱글, 연애상태_커플",연애_속마음
30217,친구 VS 연인: 우리 둘 관계 어디까지?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
36508,내 사주에 적힌 운명의 배우자,"연애상태_싱글, 연애상태_커플",연애_결혼
2149,2022년 월별 운세,전체,신년운세
50773,[창광] 25년 하반기: 직업운과 합격운,전체,"신년운세, 학업직업운"
2503,그 사람이 보는 내 이미지,"연애상태_싱글, 연애상태_커플",연애_궁합관계
22955,(추천할인) 2023년 신년운세 보고서,전체,"신년운세, 종합운"
19221,궁합 완전정복 패키지,"연애상태_싱글, 연애상태_커플",연애_궁합관계
2417,사주로 보는 그 사람 연애 유형,"연애상태_싱글, 연애상태_커플",연애_궁합관계
36629,[본 스킬] 1개 구매자 추가 할인,"연애상태_싱글, 연애상태_커플",
19299,2022년 솔로탈출시기 + 내 운명의 상대,연애상태_싱글,"신년운세, 연애_새로운만남"
17147,지원한 회사에 합격할 수 있을까?,"연애상태_싱글, 연애상태_커플",학업직업운
19206,그 사람 공략법: 속마음 + 3번의 유혹 기회,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
25450,사주 일생 풀이: 시기별 길운과 복록,전체,종합운
2425,이달의 합격운,"연애상태_싱글, 연애상태_커플",학업직업운
32368,"[얼리버드] 싸움 없는 결혼 준비, 올인원 노션 템플릿","연애상태_싱글, 연애상태_커플",연애_결혼
32529,2024년 솔로 탈출 보고서,연애상태_싱글,"신년운세, 연애_새로운만남, 종합운"
23894,[연말할인] 2023년에 솔로 탈출할 수 있을까?,연애상태_싱글,"신년운세, 연애_새로운만남"
22956,2023년 나에게 찾아올 12가지 행운,전체,신년운세
20183,내 운명의 상대(추천 할인),"연애상태_싱글, 연애상태_커플",연애_일반
38596,"설레는 2024년 봄, 나에게 찾아올 3가지 변화",전체,신년운세
18964,이번 달에 애인 생길까?,연애상태_싱글,연애_새로운만남
22564,심층 궁합: 그 사람과 사귀면 어떨까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
18647,둘 중 누가 더 좋아할까?,"연애상태_싱글, 연애상태_커플",연애_속마음
21073,(추천할인) 타고난 부: 내 사주로 평생 모을 재산은?,"연애상태_싱글, 연애상태_커플",재물금전운
22790,(추천할인) 일생 풀이: 천운과 타고난 복(福),전체,
2422,특정 날짜 내 사주 운세,"연애상태_싱글, 연애상태_커플",종합운
20908,[타고난 궁합 사용자 전용] 그 사람과 나의 사주궁합,"연애상태_싱글, 연애상태_커플",연애_궁합관계
19217,나는 어떤 사람과 결혼하게 될까?,"연애상태_싱글, 연애상태_커플",연애_결혼
19010,👀후방주의: 스킨십 궁합 패키지,"연애상태_싱글, 연애상태_커플",연애_궁합관계
21140,(추천할인) 솔로 탈출 가능할까?,연애상태_싱글,연애_새로운만남
25330,[2인 할인] 2023년 신년운세 보고서,전체,"신년운세, 종합운"
16379,썸 어떻게 될까?,연애상태_싱글,연애_새로운만남
2428,사주로 보는 전생과 현생,"연애상태_싱글, 연애상태_커플",종합운
29757,그 사람 미리보기,"연애상태_싱글, 연애상태_커플",연애_궁합관계
20314,(추천할인) 그 사람과 나의 속궁합,"연애상태_싱글, 연애상태_커플",연애_궁합관계
24408,내 아이는 출세할 사주일까? (연속구매 할인),"연애상태_싱글, 연애상태_커플",가족자녀운
40180,결혼 시뮬레이션 : 우리 2세 미리보기,"연애상태_싱글, 연애상태_커플",연애_결혼
56614,"[창광] 신년운세 통합본 ""2026년 병오년""",전체,"신년운세, 종합운"
24176,그 사람과 내가 결혼할 확률은?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계"
22063,(추천할인) 내 사주에 연애 상대 몇 명 있을까?,"연애상태_싱글, 연애상태_커플",연애_일반
24006,그 사람의 진짜 속마음을 읽어줄게!,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
2429,그 사람과 사귀면 어떨까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
33271,2024년 나에게 찾아올 12가지 행운,전체,신년운세
23705,그 사람 얼마나 잘 지낼까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
44866,"솔로 n년, 연애하고 싶다! 연애 슬럼프 탈출",연애상태_싱글,연애_새로운만남
18502,그 사람이랑 결혼하면 어떨까?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계"
18962,솔로탈출 패키지: 솔탈확률 + 3개월 연애운,연애상태_싱글,연애_새로운만남
18646,그 사람 나랑 '어디까지' 상상해봤을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
43447,2025년 나에게 찾아올 12가지 행운,전체,신년운세
43848,[깜짝할인] 내 인생 황금기와 암흑기: 사주팔자 풀이,전체,종합운
25338,(추천할인) 내 사주의 연애와 결혼: 운명의 두 사람,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
41698,[추가구매] 2024 갑진년 하반기 사랑과 인연,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
50344,[추가구매] 2025 을사년 하반기 애정운,"연애상태_싱글, 연애상태_커플","신년운세, 연애_궁합관계"
19228,(임시)🎉 사전예약자 전용 🎉 2022년 하반기 운세 보고서,전체,"신년운세, 종합운"
16453,십성十星으로 본 찐성격,"연애상태_싱글, 연애상태_커플",
19060,다음 달엔 짝사랑 끝낼 수 있을까?,연애상태_싱글,연애_새로운만남
20249,(추천할인) 인생 피는 필승 개운법: 일주풀이,전체,종합운
18104,전연인 어떻게 지낼까 + 재회확률 높이는 법,연애상태_싱글,연애_재회
19621,그 사람과 나의 연애 궁합 어떨까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26258,반드시 잡아야 할 내 인생의 귀인은? [실사판],"연애상태_싱글, 연애상태_커플",종합운
22954,인생 피는 살풀이: 반드시 주목해야 할 살은?,전체,종합운
23845,재회운 : 끊어진 인연과 다시 이어질 수 있을까,연애상태_싱글,연애_재회
16442,지금 직장 퇴사해도 될까?,전체,학업직업운
43847,[깜짝할인] 내 인생 언제 필까?: 3번의 기회🔑,전체,종합운
25204,플러팅 타로: 내가 끌리는 VS 내게 끌리는 사람,"연애상태_싱글, 연애상태_커플",
26646,사주로 보는 자녀교육: 우리 아이 어떻게 키울까?,연애상태_커플,가족자녀운
17806,운명의 상대 공략법,"연애상태_싱글, 연애상태_커플",연애_일반
22791,(추천할인) 사주 살풀이: 타고난 살과 2023년의 살,전체,신년운세
24142,그 사람의 앞으로 행동을 알려줄게!,"연애상태_싱글, 연애상태_커플",연애_궁합관계
2414,사주로 보는 연애성향,"연애상태_싱글, 연애상태_커플",연애_일반
39784,그 사람과 애인… 언제 헤어질까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_새로운만남"
33085,2024년 커플 관계 보고서,"연애상태_싱글, 연애상태_커플","신년운세, 연애_궁합관계, 종합운"
